state,operator,applicability,marginal_gain,cost,marginal_net,voc_net,evsi_net
RESOLVED_OPEN,SPLIT,IRRELEVANT,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
RESOLVED_OPEN,EXPAND,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,COMPARE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,INFER,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,CHALLENGE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,TEST,IRRELEVANT,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
RESOLVED_OPEN,UPDATE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,EVALUATE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,SELECT,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,TRANSFORM,APPLICABLE,1.0,0.050000000000000044,0.95,0.5,-0.050000000000000044
RESOLVED_OPEN,ACT,APPLICABLE,1.0,0.050000000000000044,0.95,0.5,-0.050000000000000044
RESOLVED_OPEN,VERIFY,APPLICABLE,1.0,0.050000000000000044,0.95,0.5,0.08999999999999994
RESOLVED_OPEN,CONTROL,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
RESOLVED_OPEN,CLOSE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
SOLVED,COMPILE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,ACQUIRE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,INSPECT,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,REPRESENT,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,SPLIT,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,EXPAND,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,COMPARE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,INFER,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,CHALLENGE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,TEST,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,UPDATE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,EVALUATE,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,SELECT,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,TRANSFORM,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,ACT,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,VERIFY,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,CONTROL,ALREADY_SATURATED,0.0,0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
SOLVED,CLOSE,APPLICABLE,1.0,0.050000000000000044,0.95,0.7999999999999999,-0.050000000000000044
